Country,Athletes_Rep,Rank,Gold,Silver,Bronze,Total,Rank by Total
Islamic Republic of Iran,66,27,3,2,2,7,33
Chinese Taipei,67,34,2,4,6,12,22
Sweden,129,23,3,6,0,9,26
Republic of Korea,223,16,6,4,10,20,13
Philippines,18,50,1,2,1,4,47
Malaysia,29,74,0,1,1,2,66
Fiji,28,59,1,0,1,2,66
Turkey,102,35,2,2,9,13,20
Germany,400,9,10,11,16,37,8
Jordan,11,74,0,1,1,2,66
Ivory Coast,29,86,0,0,1,1,77
France,377,8,10,12,11,33,10
Greece,75,36,2,1,1,4,47
Kosovo,10,42,2,0,0,2,66
Slovakia,38,50,1,2,1,4,47
"Hong Kong, China",40,49,1,2,3,6,39
Argentina,180,72,0,1,2,3,60
Belgium,125,29,3,1,3,7,33
Great Britain,366,4,22,21,22,65,4
San Marino,4,72,0,1,2,3,60
Qatar,14,41,2,0,1,3,60
Ecuador,46,38,2,1,0,3,60
Finland,45,85,0,0,2,2,66
Ghana,14,86,0,0,1,1,77
India,117,48,1,2,4,7,33
Bahamas,16,42,2,0,0,2,66
Belarus,104,45,1,3,3,7,33
Kuwait,10,86,0,0,1,1,77
Puerto Rico,35,63,1,0,0,1,77
Croatia,57,26,3,3,2,8,29
Nigeria,59,74,0,1,1,2,66
Italy,356,10,10,10,20,40,7
Lithuania,37,77,0,1,0,1,77
Norway,92,20,4,2,2,8,29
Turkmenistan,8,77,0,1,0,1,77
Spain,324,22,3,8,6,17,17
Cuba,69,14,7,3,5,15,18
Denmark,103,25,3,4,4,11,23
Ireland,116,39,2,0,2,4,47
Thailand,39,59,1,0,1,2,66
Morocco,48,63,1,0,0,1,77
Ukraine,152,44,1,6,12,19,16
Venezuela,43,46,1,3,0,4,47
Israel,85,39,2,0,2,4,47
United States of America,615,1,39,41,33,113,1
Mexico,155,84,0,0,4,4,47
Georgia,35,33,2,5,1,8,29
Estonia,33,59,1,0,1,2,66
Indonesia,26,55,1,1,3,5,42
Mongolia,43,71,0,1,3,4,47
Azerbaijan,41,67,0,3,4,7,33
Grenada,6,86,0,0,1,1,77
Armenia,16,69,0,2,2,4,47
Tunisia,57,58,1,1,0,2,66
Saudi Arabia,32,77,0,1,0,1,77
Uganda,24,36,2,1,1,4,47
Namibia,11,77,0,1,0,1,77
Switzerland,115,24,3,4,6,13,20
Ethiopia,42,56,1,1,2,4,47
Latvia,29,59,1,0,1,2,66
Jamaica,60,21,4,1,4,9,26
Canada,368,11,7,6,11,24,11
Uzbekistan,63,32,3,0,2,5,42
Kyrgyzstan,16,70,0,2,1,3,60
North Macedonia,8,77,0,1,0,1,77
Czech Republic,117,18,4,4,3,11,23
Brazil,291,12,7,6,8,21,12
Kenya,78,19,4,4,2,10,25
Slovenia,51,31,3,1,1,5,42
Dominican Republic,61,68,0,3,2,5,42
Japan,586,3,27,14,17,58,5
Botswana,13,86,0,0,1,1,77
New Zealand,202,13,7,6,7,20,13
Poland,195,17,4,5,5,14,19
Portugal,85,56,1,1,2,4,47
Republic of Moldova,19,86,0,0,1,1,77
Australia,470,6,17,7,22,46,6
Romania,99,46,1,3,0,4,47
People's Republic of China,401,2,38,32,18,88,2
Bulgaria,41,30,3,1,2,6,39
Austria,72,53,1,1,5,7,33
Egypt,133,54,1,1,4,6,39
Kazakhstan,92,83,0,0,8,8,29
Serbia,83,28,3,1,5,9,26
South Africa,171,52,1,2,0,3,60
Burkina Faso,7,86,0,0,1,1,77
Bermuda,2,63,1,0,0,1,77
Bahrain,31,77,0,1,0,1,77
ROC,318,5,20,28,23,71,3
Colombia,64,66,0,4,1,5,42
Hungary,155,15,6,7,7,20,13
Syrian Arab Republic,6,86,0,0,1,1,77
Netherlands,274,7,10,12,14,36,9
